Tier,Priority,Have It (Claude Knowledge/jump drive),Authors,Year,Title,Journal/Venue,Link,Why It Matters
3 - Rigor/trustworthiness framework,Medium,YES - full text obtained 2026-08-13 (freely available preprint),"Nyaaba, M., SungEun, M., Apam, M.A., Acheampong, K.O., Dwamena, E., & Zhai, X.",under review,Human-AI Collaborative Inductive Thematic Analysis: How AI Guides Analysis and Researchers Reclaim Interpretive Authority,arXiv 2601.11850 (target journal abbreviated 'JDEM' in manuscript; under review, not yet peer-reviewed),https://arxiv.org/pdf/2601.11850,"CORRECTED title/authors vs. prior placeholder entry. Full text read 2026-08-13: 3 researchers use a purpose-built GPT-4 inductive-TA tool (HACITA framework); identifies 5 recurring human analytic actions (modification, deletion, rejection, insertion, commenting); verbatim/in-vivo codes most trusted, gerund/categorical codes needed most correction (mirrors AlGhamdi's code-vs-theme pattern); quantifies human interventions per coder (15, 15, 8). Cite as preprint, not settled literature."
3 - Rigor/trustworthiness framework,High,YES,"Paulus, T., Lester, J.N., & Davis, C.",2026,The Construction of the Role of AI in Qualitative Data Analysis in the Social Sciences,"AI & Society, 41, 1737-1748",https://doi.org/10.1007/s00146-025-02488-3,"CONFIRMED 2026-08-13 (read in full): discourse analysis of 29 published articles' own framing of AI's role in QDA, identifying 5 stances: (1) QDA is inherently problematic, (2) QDA will inevitably be automated, (3) AI disrupts without replacing humans, (4) AI-human hybrid methods are the future, (5) de-centering ethics/limitations. New section added to Study1_AI_Thematic_Analysis_Publishable_Protocol.md recommending stance 4 as the one to write into - matches this protocol's existing six-phase engine."
4 - Know the opposition (read to preempt),High,YES,"Nguyen-Trung, K.",2025,"(same paper as above - Tier 2 entry)",Quality & Quantity,https://doi.org/10.1007/s11135-025-02165-z,"Represents the Braun & Clarke 'Big Q' objection - reflexive TA's point is researcher subjectivity, and AI 'systematic/reduce-bias' framing is methodologically incongruent. A reviewer trained in reflexive TA may raise exactly this - address head-on in methods, don't get blindsided."
4 - Know the opposition (read to preempt),Medium,YES - full text obtained 2026-08-13 (freely available),"Karhu, K., Smolander, K., & Kasurinen, J.",2026,To Vibe Research or Not to Vibe Research? Generative AI in Qualitative Research,arXiv 2605.00922,https://arxiv.org/pdf/2605.00922,"CORRECTED authors vs. prior placeholder entry. Full text read 2026-08-13: sharper version of the opposition than Nguyen-Trung alone. Uses the same small-q/Big-Q split this protocol already uses. Three specific objections: (1) methodological incongruence (using inter-rater reliability, a small-q metric, inside a Big-Q/reflexive design), (2) AI cannot be reflexive, (3) AI supply-chain ethics (environmental + labor cost, citing Miceli et al. 2025) treated as first-order not an afterthought. Cites the 419-researcher Jowsey et al. 2025 rejection statement - see that row below."
4 - Know the opposition (read to preempt),High,"YES - citation + abstract independently verified 2026-08-16 (WebSearch/WebFetch, KCL repository); full text still behind SAGE paywall, not directly read","Jowsey, T., Braun, V., Clarke, V., Lupton, D., & Fine, M.",2025,We Reject the Use of Generative Artificial Intelligence for Reflexive Qualitative Research,"Qualitative Inquiry, e-pub ahead of print 2025-12-17",https://doi.org/10.1177/10778004251401851,"VERIFIED 2026-08-16: real DOI confirmed (10.1177/10778004251401851), CC BY 4.0 open-access license (so a legally free copy should exist somewhere despite the SAGE-page 403 hit this pass - worth one more direct-fetch attempt, e.g. via the KCL PURE repository's own PDF link, before assuming it needs an Ole Miss pull). Abstract confirmed: collective statement from 419 qualitative researchers across 32 countries, arguing reflexive TA requires a subjective/positioned/reflexive human researcher and is therefore methodologically incompatible with GenAI, plus social/environmental-justice grounds. Already 35 Scopus citations as of this check. Full text (exact wording of objections) still not independently read - if directly quoting rather than summarizing, pull the full text first. See also the direct rebuttal below (De Paoli 2026), which should be cited alongside this to show engagement with both sides of the debate rather than citing only the objection."
4 - Know the opposition (read to preempt),High,"YES - citation + abstract verified 2026-08-16 (WebSearch/WebFetch); full text not directly read","De Paoli, S.",2026,"Why We Should Reject to Reject the Use of Generative Artificial Intelligence in Qualitative Analysis: A Response to Jowsey, Braun, Clarke, Lupton, and Fine (2025)","Qualitative Inquiry, 2026-02-18",https://doi.org/10.1177/10778004261425137,"NEW ROW, added 2026-08-16. Direct, real, published rebuttal to the Jowsey et al. 2025 rejection statement above - confirmed real via WebSearch/WebFetch (Abertay University repository page). Argues the Jowsey et al. objections, while framed as methodological, largely rest on philosophical assumptions risking dogma; calls for continued scrutiny and rigor but not categorical rejection, framing engagement with GenAI tools as compatible with reflexivity if done openly and collaboratively. Strategically valuable: citing this alongside Jowsey et al. lets a methods section acknowledge the strongest opposition citation available while also showing the field itself is actively contesting it, not settled against AI-assisted qualitative work. Full text not directly read this pass - pull before quoting directly."
5 - Practical protocol (for methods write-up),High,YES,"Naeem, M., Smith, T., & Thomas, L.",2025,Thematic Analysis and Artificial Intelligence: A Step-by-Step Process for Using ChatGPT in Thematic Analysis,International Journal of Qualitative Methods,https://journals.sagepub.com/doi/10.1177/16094069251333886,"Maps AI onto Braun & Clarke's six-phase process step by step - probably the single best template for writing an actual methods section paragraph."
5 - Practical protocol (for methods write-up),High,YES,"Goyanes, M., Lopezosa, C., & Jorda, B.",2025,Thematic Analysis of Interview Data with ChatGPT: Designing and Testing a Reliable Research Protocol for Qualitative Research,"Quality & Quantity, 59(6), 5491-5510",https://doi.org/10.1007/s11135-025-02199-3,"Citable, tested, replicable coding protocol - cite as 'following the protocol established in X.'"
Adjacent (different topic - synthetic data not coding),Optional,YES,"Sarstedt, M. et al.",2024,Using Large Language Models to Generate Silicon Samples in Consumer and Marketing Research,Psychology & Marketing,https://doi.org/10.1002/mar.21982,"Not thematic analysis - about generating synthetic/silicon consumer samples with LLMs. Keep on hand in case either paper's reviewers ask about LLM use in marketing research more broadly."
Identified 2026-08-13 - duplicate,n/a,YES (identified),"Wang, M., Zhang, D.J., & Zhang, H.",2025/26,Large Language Models for Market Research: A Data-Augmentation Approach,"Marketing Science (Articles in Advance)",https://doi.org/10.1287/mksc.2025.0009,"RESOLVED: EBSCO-FullText-07_08_2026.pdf is a duplicate full-text pull of this paper (already tracked in AI_Assisted_TA_Shared_Method.md as a background citation on LLM-generated synthetic conjoint-analysis data). Not thematic-analysis-relevant beyond that background use - proposes a statistical data-augmentation method for combining LLM-generated and real survey data, finds naive substitution of human data with LLM data increases bias. Confirmed by opening the file directly 2026-08-13."
